City,Country,Lat,Long,Hotel Name
Talara,PE,-4.58,-81.27,Casa Andina Standard Talara
Los Andes,CL,-32.83,-70.6,Cardon
Salalah,OM,17.02,54.09,Atana Stay Salalah
Ovalle,CL,-30.6,-71.2,Hotel Keo
Saint-Philippe,RE,-21.36,55.77,Les Embruns Du Baril
Saint-Pierre,RE,-21.34,55.48,"Villa Delisle, Hotel & Spa"
Chabahar,IR,25.29,60.64,Lipar Hotel
Mizdah,LY,31.45,12.98,فندق مزدة الكبير
Assiut,EG,27.18,31.18,Florence Hotel Assiut
Jalu,LY,29.03,21.55,Jalu Hotel
Eyl,SO,7.98,49.82,Amiin Hotel
Mount Isa,AU,-20.73,139.5,Isa Hotel
Tharād,IN,24.4,71.63,HOTEL DESERT INN THARAD
Dwārka,IN,22.24,68.97,"VITS Devbhumi, Dwarka"
